species,PA,bio12,bio1
Aneides_aeneus,1,1353,128
Aneides_aeneus,1,1482,152
Aneides_aeneus,1,1888,127
Aneides_aeneus,1,1250,124
Aneides_aeneus,1,1249,107
Aneides_aeneus,1,1467,145
Aneides_aeneus,1,1152,104
Aneides_aeneus,1,1511,152
Aneides_aeneus,1,1485,144
Aneides_aeneus,1,1475,137
Aneides_aeneus,1,1401,141
Aneides_aeneus,1,1352,127
Aneides_aeneus,1,1206,126
Aneides_aeneus,1,1886,119
Aneides_aeneus,1,1098,117
Aneides_aeneus,1,1191,131
Aneides_aeneus,1,1462,126
Aneides_aeneus,1,1490,125
Aneides_aeneus,1,1083,117
Aneides_aeneus,1,1263,104
Aneides_aeneus,1,1615,135
Aneides_aeneus,1,1355,129
Aneides_aeneus,1,1439,144
Aneides_aeneus,1,1507,152
Aneides_aeneus,1,1487,152
Aneides_aeneus,1,1311,128
Aneides_aeneus,1,1348,124
Aneides_aeneus,1,1326,126
Aneides_aeneus,1,1501,150
Aneides_aeneus,1,1288,122
Aneides_aeneus,1,1182,115
Aneides_aeneus,1,1478,153
Aneides_aeneus,1,1479,154
Aneides_aeneus,1,1487,152
Aneides_aeneus,1,1193,112
Aneides_aeneus,1,1147,120
Aneides_aeneus,1,1182,115
Aneides_aeneus,1,1210,125
Aneides_aeneus,1,1456,126
Aneides_aeneus,1,1125,125
Aneides_aeneus,1,1120,127
Aneides_aeneus,1,1472,130
Aneides_aeneus,1,1484,153
Aneides_aeneus,1,1285,128
Aneides_aeneus,1,1419,147
Aneides_aeneus,1,1766,127
Aneides_aeneus,1,1785,122
Aneides_aeneus,1,1302,129
Aneides_aeneus,1,1311,130
Aneides_aeneus,1,1461,132
Aneides_aeneus,1,1471,145
Aneides_aeneus,1,1346,125
Aneides_aeneus,1,1980,120
Aneides_aeneus,1,1217,124
Aneides_aeneus,1,1216,122
Aneides_aeneus,1,1510,150
Aneides_aeneus,1,1120,129
Aneides_aeneus,1,1105,131
Aneides_aeneus,1,1102,135
Aneides_aeneus,1,1463,145
Aneides_aeneus,1,1414,154
Aneides_aeneus,1,1473,144
Aneides_aeneus,1,1441,151
Aneides_aeneus,1,1465,144
Aneides_aeneus,1,1487,140
Aneides_aeneus,1,1472,142
Aneides_aeneus,1,1074,109
Aneides_aeneus,1,1049,107
Aneides_aeneus,1,1120,132
Aneides_aeneus,1,1042,107
Aneides_aeneus,1,1115,105
Aneides_aeneus,1,1132,100
Aneides_aeneus,1,1214,123
Aneides_aeneus,1,1477,143
Aneides_aeneus,1,1184,119
Aneides_aeneus,1,1146,121
Aneides_aeneus,1,1129,131
Aneides_aeneus,1,1139,126
Aneides_aeneus,1,1427,155
Aneides_aeneus,1,1403,147
Aneides_aeneus,1,1069,108
Aneides_aeneus,1,1120,132
Aneides_aeneus,1,1499,142
Aneides_aeneus,1,1502,141
Aneides_aeneus,1,1160,94
Aneides_aeneus,1,1072,106
Aneides_aeneus,1,1330,143
Aneides_aeneus,1,1487,137
Aneides_aeneus,1,1504,122
Aneides_aeneus,1,1069,108
Aneides_aeneus,1,1431,151
Aneides_aeneus,1,1562,128
Aneides_aeneus,1,1308,128
Aneides_aeneus,1,1139,129
Aneides_aeneus,1,1467,125
Aneides_aeneus,1,1417,140
Aneides_aeneus,1,1468,142
Aneides_aeneus,1,1532,137
Aneides_aeneus,1,1486,153
Aneides_aeneus,1,1447,111
Aneides_aeneus,1,1096,99
Aneides_aeneus,1,1145,124
Aneides_aeneus,1,1060,107
Aneides_aeneus,1,1447,146
Aneides_aeneus,1,1055,110
Aneides_aeneus,1,1152,127
Aneides_aeneus,1,1116,132
Aneides_aeneus,1,1476,143
Aneides_aeneus,1,1356,122
Aneides_aeneus,1,1501,149
Aneides_aeneus,1,1139,128
Aneides_aeneus,1,1443,154
Aneides_aeneus,1,1131,128
Aneides_aeneus,1,1193,117
Aneides_aeneus,1,1485,153
Aneides_aeneus,1,1156,127
Aneides_aeneus,1,1129,131
Aneides_aeneus,1,1455,147
Aneides_aeneus,1,1321,145
Aneides_aeneus,1,1459,147
Aneides_aeneus,1,1389,155
Aneides_aeneus,1,1050,108
Aneides_aeneus,1,1513,141
Aneides_aeneus,1,1476,154
Aneides_aeneus,1,1474,155
Aneides_aeneus,1,1493,154
Aneides_aeneus,1,1478,153
Aneides_aeneus,1,1519,136
Aneides_aeneus,1,1203,121
Aneides_aeneus,1,1487,152
Aneides_aeneus,1,1524,139
Aneides_aeneus,1,1164,119
Aneides_aeneus,1,1817,124
Aneides_aeneus,1,1496,125
Aneides_aeneus,1,1338,136
Aneides_aeneus,1,1462,143
Aneides_aeneus,1,1466,143
Aneides_aeneus,1,1468,142
Aneides_aeneus,1,1404,148
Aneides_aeneus,1,1539,136
Aneides_aeneus,1,1447,111
Aneides_aeneus,1,1146,120
Aneides_aeneus,1,1464,145
Aneides_aeneus,1,1249,123
Aneides_aeneus,1,1479,152
Aneides_aeneus,1,1129,131
Aneides_aeneus,1,1538,137
Aneides_aeneus,1,1111,123
Aneides_aeneus,1,1406,155
Aneides_aeneus,1,1130,121
Aneides_aeneus,1,1113,124
Aneides_aeneus,1,1105,124
Aneides_aeneus,1,1116,132
Aneides_aeneus,1,1139,128
Aneides_aeneus,1,1196,130
Aneides_aeneus,1,1424,129
Aneides_aeneus,1,1546,136
Aneides_aeneus,1,1522,139
Aneides_aeneus,1,1492,140
Aneides_aeneus,1,1105,116
Aneides_aeneus,1,1465,142
Aneides_aeneus,1,1541,136
Aneides_aeneus,1,1048,106
Aneides_aeneus,1,1075,109
Aneides_aeneus,1,1061,106
Aneides_aeneus,1,1670,139
Aneides_aeneus,1,1128,129
Aneides_aeneus,1,1129,129
Aneides_aeneus,1,1524,133
Aneides_aeneus,1,1053,107
Aneides_aeneus,1,1036,108
Aneides_aeneus,1,1036,108
Aneides_aeneus,1,1143,93
Aneides_aeneus,1,1410,147
Aneides_aeneus,1,1062,108
Aneides_aeneus,1,1199,95
Aneides_aeneus,1,1050,108
Aneides_aeneus,1,1053,108
Aneides_aeneus,1,1055,110
Aneides_aeneus,1,1069,108
Aneides_aeneus,1,1055,110
Aneides_aeneus,1,1053,108
Aneides_aeneus,1,1132,100
Aneides_aeneus,1,1053,107
Aneides_aeneus,1,1053,107
Aneides_aeneus,1,1069,108
Aneides_aeneus,1,1069,108
Aneides_aeneus,1,1055,110
Aneides_aeneus,1,1060,107
Aneides_aeneus,1,1115,105
Aneides_aeneus,1,1065,108
Aneides_aeneus,1,1031,108
Aneides_aeneus,1,1061,106
Aneides_aeneus,1,1048,106
Aneides_aeneus,1,1123,122
Aneides_aeneus,1,1439,155
Aneides_aeneus,1,1531,138
Aneides_aeneus,1,1538,137
Aneides_aeneus,1,1531,138
Aneides_aeneus,1,1522,139
Aneides_aeneus,1,1138,123
Aneides_aeneus,1,1157,118
Aneides_aeneus,1,1184,113
Aneides_aeneus,1,1459,125
Aneides_aeneus,1,1487,152
Aneides_aeneus,1,1522,138
Aneides_aeneus,1,1487,140
Aneides_aeneus,1,1311,125
Aneides_aeneus,1,1423,153
Aneides_aeneus,1,1469,146
Aneides_aeneus,1,1098,119
Aneides_aeneus,1,1439,144
Aneides_aeneus,1,1322,123
Aneides_aeneus,1,1313,127
Aneides_aeneus,1,1418,147
Aneides_aeneus,1,1476,143
Aneides_aeneus,1,1480,153
Aneides_aeneus,1,1516,150
Aneides_aeneus,1,1741,119
Aneides_aeneus,1,1539,136
Aneides_aeneus,1,1179,127
Aneides_aeneus,1,1478,153
Aneides_aeneus,1,2024,104
Aneides_aeneus,1,1331,135
Aneides_aeneus,1,1158,121
Aneides_aeneus,1,1426,154
Aneides_aeneus,1,1409,155
Aneides_aeneus,1,1511,151
Aneides_aeneus,1,1518,150
Aneides_aeneus,1,1480,154
Aneides_aeneus,1,1151,121
Aneides_aeneus,1,1480,153
Aneides_aeneus,1,1518,90
Aneides_aeneus,1,1204,129
Aneides_aeneus,1,1149,124
Aneides_aeneus,1,1467,149
Aneides_aeneus,1,2024,104
Aneides_aeneus,1,1507,150
Aneides_aeneus,1,1409,155
Aneides_aeneus,1,1426,147
Aneides_aeneus,1,1358,125
Aneides_aeneus,1,1423,97
Aneides_aeneus,1,1240,116
Aneides_aeneus,1,1138,123
Aneides_aeneus,1,1155,120
Aneides_aeneus,1,1476,143
Aneides_aeneus,1,1476,143
Aneides_aeneus,1,1079,118
Aneides_aeneus,1,1222,81
Aneides_aeneus,1,1217,127
Aneides_aeneus,1,1258,124
Aneides_aeneus,1,1280,129
Aneides_aeneus,1,1280,129
Aneides_aeneus,1,1277,130
Aneides_aeneus,1,1283,97
Aneides_aeneus,1,1283,97
Aneides_aeneus,1,1442,155
Aneides_aeneus,1,1463,151
Aneides_aeneus,1,1903,125
Aneides_aeneus,1,1476,153
Aneides_aeneus,1,1333,143
Aneides_aeneus,1,1495,152
Aneides_aeneus,1,1503,151
Aneides_aeneus,1,1903,125
Aneides_aeneus,1,1499,153
Aneides_aeneus,1,1479,154
Aneides_aeneus,1,1429,152
Aneides_aeneus,1,1427,152
Aneides_aeneus,1,1487,141
Aneides_aeneus,1,1479,154
Aneides_aeneus,1,1441,151
Aneides_aeneus,1,1479,154
Aneides_aeneus,1,1415,154
Aneides_aeneus,1,1441,151
Aneides_aeneus,1,1371,99
Aneides_aeneus,1,1476,143
Aneides_aeneus,1,1098,116
Aneides_aeneus,1,1488,141
Aneides_aeneus,1,1415,154
Aneides_aeneus,1,1441,151
Aneides_aeneus,1,1413,154
Aneides_aeneus,1,1446,148
Aneides_aeneus,1,1348,93
Aneides_aeneus,1,1338,92
Aneides_aeneus,1,1451,147
Aneides_aeneus,1,1464,145
Aneides_aeneus,1,1479,154
Aneides_aeneus,1,1476,143
Aneides_aeneus,1,1480,153
Aneides_aeneus,1,1476,152
Aneides_aeneus,1,1480,153
Aneides_aeneus,1,1488,153
Aneides_aeneus,1,1417,152
Aneides_aeneus,1,1222,81
Aneides_aeneus,1,1432,150
Aneides_aeneus,1,1433,148
Aneides_aeneus,1,1222,81
Aneides_aeneus,1,1500,139
Aneides_aeneus,1,1462,147
Aneides_aeneus,1,1449,147
Aneides_aeneus,1,1488,141
Aneides_aeneus,1,1197,97
Aneides_aeneus,1,1484,143
Aneides_aeneus,1,1086,119
Aneides_aeneus,1,1046,117
Aneides_aeneus,1,1673,139
Aneides_aeneus,1,1077,120
Aneides_aeneus,1,1079,118
Aneides_aeneus,1,1090,98
Aneides_aeneus,1,1075,124
Aneides_aeneus,1,2040,105
Aneides_aeneus,1,1175,127
Aneides_aeneus,1,1093,117
Aneides_aeneus,1,1156,117
Aneides_aeneus,1,2043,113
Aneides_aeneus,1,1977,112
Aneides_aeneus,1,2040,105
Aneides_aeneus,1,1942,120
Aneides_aeneus,1,1977,112
Aneides_aeneus,1,1977,112
Aneides_aeneus,1,1550,134
Aneides_aeneus,1,1075,124
Aneides_aeneus,1,1075,124
Aneides_aeneus,1,1075,124
Aneides_aeneus,1,1474,155
Aneides_aeneus,1,2040,105
Aneides_aeneus,1,2040,105
Aneides_aeneus,1,1442,155
Aneides_aeneus,1,1442,155
Aneides_aeneus,1,2008,105
Aneides_aeneus,1,1086,119
Aneides_aeneus,1,2040,105
Aneides_aeneus,1,1285,128
Aneides_aeneus,1,1285,128
Aneides_aeneus,1,1221,92
Aneides_aeneus,1,1266,94
Aneides_aeneus,1,1266,94
Aneides_aeneus,1,1433,154
Aneides_aeneus,1,1266,94
Aneides_aeneus,1,1673,139
Aneides_aeneus,1,1942,120
Aneides_aeneus,1,1977,112
Aneides_aeneus,1,2040,105
Aneides_aeneus,1,1098,116
Aneides_aeneus,1,1946,116
Aneides_aeneus,1,1317,100
Aneides_aeneus,1,1298,108
Aneides_aeneus,1,1673,139
Aneides_aeneus,1,1186,94
Aneides_aeneus,1,1231,104
Aneides_aeneus,1,1527,146
Aneides_aeneus,1,1477,126
Aneides_aeneus,1,1550,134
Aneides_aeneus,1,1197,97
Aneides_aeneus,1,1383,122
Aneides_aeneus,1,1420,163
Aneides_aeneus,1,1186,94
Aneides_aeneus,1,1131,122
Aneides_aeneus,1,979,107
Aneides_aeneus,1,1673,139
Aneides_aeneus,1,1166,117
Aneides_aeneus,1,1279,118
Aneides_aeneus,1,1300,114
Aneides_aeneus,1,1285,128
Aneides_aeneus,1,1442,155
Aneides_aeneus,1,1320,127
Aneides_aeneus,1,1903,125
Aneides_aeneus,1,1097,98
Aneides_aeneus,1,1158,116
Aneides_aeneus,1,1091,117
Aneides_aeneus,1,1075,124
Aneides_aeneus,1,1286,118
Aneides_aeneus,1,1098,116
Aneides_aeneus,0,1021,83
Aneides_aeneus,0,1459,97
Aneides_aeneus,0,982,103
Aneides_aeneus,0,1185,81
